"","School","ID","CoNo","StNo","Long","Lat","Low","High","Students"
"301","CLARKE CO HIGH SCH","010072000298","25","01","-87.775000","31.707200",9,12,406
"302","CLAY CO HIGH SCH","010075002184","27","01","-85.788500","33.294400",9,12,524.598433921844
"303","CLAY CO HIGH SCH","010075000311","27","01","-85.840100","33.271000",7,12,524.598433921844
"304","CLAY CO JUNIOR HIGH SCH","010075002183","27","01","-85.788500","33.294400",7,8,524.598433921844
"305","CLAY COUNTY HIGH SCH","010075002210","27","01","-85.787300","33.290800",9,12,639
"306","CLAY ELEM SCH","010192000696","73","01","-86.601000","33.696400",0,5,627
"307","CLAY-CHALKVILLE HIGH SCH","010192000469","73","01","-86.602300","33.695400",9,12,1333
"308","CLAY-CHALKVILLE MIDDLE SCH","010192000472","73","01","-86.597800","33.696200",6,8,1016
"309","CLAYSVILLE JR HIGH SCH","010000600876","95","01","-86.270700","34.406400",-1,4,138
"310","CLEBURNE CO CAREER TECH SCH","010078000768","29","01","-85.482200","33.597300",7,12,524.598433921844
"311","CLEBURNE CO ELEM SCH","010078000317","29","01","-85.571800","33.647300",-1,4,363
"312","CLEBURNE CO HIGH SCH","010078000318","29","01","-85.571900","33.648100",8,12,662
"313","CLEBURNE CO MIDDLE SCH","010078001671","29","01","-85.571800","33.647000",5,7,268
"314","CLEMENTS HIGH SCH","010210000799","83","01","-87.183800","34.802000",6,12,612
"315","CLEVELAND ELEM SCH","010042001476","9","01","-86.572900","33.993400",0,6,450
"316","CLEVELAND HIGH SCH","010042000206","9","01","-86.573600","33.993200",7,12,431
"317","CLOVERDALE ELEM SCH","010123000444","69","01","-85.391900","31.197600",0,5,318
"318","CLOVERDALE JR HIGH SCH","010201000766","77","01","-87.780100","34.947000",0,6,524.598433921844
"319","COBB ELEM SCH","010009001782","15","01","-85.841700","33.661700",0,5,117
"320","COFFEEVILLE HIGH SCH","010072000300","25","01","-88.088400","31.760800",0,12,524.598433921844
"321","COL STREET ELEM SCH","010132000473","31","01","-85.860400","31.310000",1,6,283
"322","COLBERT CO HIGH SCH","010084000334","33","01","-87.524400","34.695500",7,12,488
"323","COLBERT HEIGHTS ELEM SCH","010084001658","33","01","-87.700900","34.669600",-1,6,442
"324","COLBERT HEIGHTS HIGH SCH","010084000335","33","01","-87.698500","34.668800",7,12,477
"325","COLD SPRINGS ELEM SCH","010102000375","43","01","-87.031400","33.982000",0,8,580
"326","COLD SPRINGS HIGH SCH","010102000374","43","01","-87.031700","33.982000",9,12,255
"327","COLDWATER ELEM SCH","010263502099","15","01","-85.936000","33.602600",0,4,428
"328","COLLINS ELEM SCH","010294001486","71","01","-86.039300","34.650300",5,6,421
"329","COLLINS-RHODES ELEM SCH","010237000919","97","01","-88.135400","30.772000",-1,5,678
"330","COLLINS-RIVERSIDE MIDDLE SCH","010339001289","125","01","-87.570600","33.219000",6,8,469
"331","COLLINSVILLE HIGH SCH","010114000411","49","01","-85.866600","34.256200",0,12,861
"332","COLUMBIA ELEM SCH","010000802097","89","01","-86.766000","34.734300",0,6,720
"333","COLUMBIA HIGH SCHOOL","010180001651","89","01","-86.699300","34.723200",9,12,684
"334","COLUMBIANA MIDDLE SCH","010303001173","117","01","-86.615800","33.185300",6,8,459
"335","COMM INTENSIVE TREATMENT YOUTH","010180001373","89","01","-86.664600","34.783400",7,11,524.598433921844
"336","COMPASS ACADEMY","010017302106","35","01","-86.950300","31.436100",-2,-2,524.598433921844
"337","COMPASS SCHOOL","010018102116","53","01","-87.479400","31.031700",-2,-2,524.598433921844
"338","CONCORD ELEM SCH","010192000697","73","01","-87.067500","33.486200",0,5,361
"339","CONECUH CO JR HIGH SCH","010087000344","35","01","-87.031300","31.297200",-1,8,165
"340","CONSTANTINE ELEM SCH","010009000015","15","01","-85.833900","33.633300",-1,5,196
"341","CONTINUOUS LEARNING CTR","010237001686","97","01","-88.081900","30.702100",6,12,34
"342","COOSA CO SCIENCE & TECH SCH","010090000798","37","01","-86.202000","33.001600",9,12,524.598433921844
"343","COOSA VALLEY ELEM SCH","010265001569","115","01","-86.287300","33.538300",0,4,344
"344","COOSA VALLEY YOUTH SER","010054000169","15","01","-85.822200","33.704600",6,12,524.598433921844
"345","COOSADA ELEM SCH","010129000833","51","01","-86.347300","32.506200",-1,2,926
"346","COPPINVILLE SCH","010132000474","31","01","-85.838200","31.311500",7,7,524
"347","CORA CASTLEN ELEM","010237000924","97","01","-88.344600","30.484100",0,5,544
"348","CORDOVA ELEM SCH","010345001307","127","01","-87.183900","33.768900",-1,4,383
"349","CORDOVA HIGH SCH","010345001308","127","01","-87.185900","33.760000",9,12,486
"350","CORLEY ELEM SCH","010001200884","95","01","-86.175500","34.204800",2,3,379
"351","CORNER HIGH SCH","010192000698","73","01","-86.964300","33.758100",9,12,521
"352","CORNER SCH","010192002174","73","01","-86.941600","33.800800",0,8,575
"353","COTACO SCH","010248001041","103","01","-86.698100","34.474500",-1,8,500
"354","COTTONDALE ELEM SCH","010339001276","125","01","-87.456700","33.186100",0,5,388
"355","COTTONWOOD HIGH SCH","010177000612","69","01","-85.301600","31.056600",0,12,722
"356","COUNCILL ELEM SCH","010039000115","73","01","-86.885900","33.513000",-1,6,524.598433921844
"357","COUNCILL MIDDLE SCH","010321001857","123","01","-85.762600","32.824000",6,8,312
"358","CREEK VIEW ELEM SCH","010019001815","117","01","-86.862400","33.225200",0,3,980
"359","CREEKSIDE ELEM SCH","010210001454","83","01","-86.797200","34.790100",0,5,1049
"360","CRENSHAW CO AREA VOC","010096000801","41","01","-86.267700","31.705100",7,12,524.598433921844
"361","CRESTLINE ELEM SCH","010249001055","73","01","-86.753000","33.501500",0,6,785
"362","CRESTLINE ELEM SCH","010173000596","103","01","-86.947500","34.439200",-1,4,433
"363","CRESTMONT ELEM SCH","010339001277","125","01","-87.590200","33.233500",-1,5,352
"364","CROSSVILLE ELEM SCH","010114000412","49","01","-86.011200","34.281300",0,3,636
"365","CROSSVILLE HIGH SCH","010114001860","49","01","-85.996100","34.288700",9,12,513
"366","CRUMLY CHAPEL ELEM SCH","010192000699","73","01","-86.919400","33.577200",0,5,330
"367","CRUMP ELEM SCH","010243001004","101","01","-86.260300","32.313400",0,5,548
"368","CTR FOR DEV LEARNING","010180001669","89","01","-86.612300","34.739400",-1,12,524.598433921844
"369","CTR POINT ELEM SCH","010192000694","73","01","-86.687800","33.647600",0,2,685
"370","CTR STREET MIDDLE","010039000111","73","01","-86.829000","33.487800",7,9,524.598433921844
"371","CULLMAN AREA RESOURCE ED","010102001567","43","01","-87.052900","34.206300",6,12,524.598433921844
"372","CULLMAN CHILD DEV CTR","010102001497","43","01","-86.857700","34.221600",-1,12,120
"373","CULLMAN CITY CAREER TECH","010099001323","43","01","-86.840800","34.179000",7,12,524.598433921844
"374","CULLMAN CITY PRIMARY SCH","010099000326","43","01","-86.835400","34.187000",0,1,514
"375","CULLMAN CO AREA CAREER CTR","010102000803","43","01","-86.856900","34.222700",10,12,524.598433921844
"376","CULLMAN COMM COMPREHENSIVE LEARNING CTR","010099002089","43","01","-86.840800","34.179000",1,12,524.598433921844
"377","CULLMAN HIGH SCH","010099000370","43","01","-86.841800","34.188500",9,12,867
"378","CULLMAN MIDDLE SCH","010099000369","43","01","-86.844300","34.184800",7,8,481
"379","CURRY ELEM SCH","010039000116","73","01","-86.736500","33.568900",0,5,524.598433921844
"380","CURRY ELEM SCH","010345001309","127","01","-87.216100","33.958300",-1,5,582
"381","CURRY HIGH SCH","010345001310","127","01","-87.215900","33.956600",9,12,527
"382","CURRY MIDDLE SCH","010345001703","127","01","-87.217700","33.959500",6,8,277
"383","D A SMITH MIDDLE SCH","010264001081","45","01","-85.653600","31.453100",6,8,535
"384","DADEVILLE ELEM SCH","010321001228","123","01","-85.752500","32.829700",0,5,595
"385","DADEVILLE HIGH SCH","010321001229","123","01","-85.754500","32.829600",9,12,462
"386","DALE CO HIGH SCH","010105000389","45","01","-85.504200","31.320700",9,12,391
"387","DALEVILLE HIGH SCH","010108000394","45","01","-85.710300","31.316000",7,12,582
"388","DALLAS CO CAREER TECH CTR","010111000818","47","01","-87.016600","32.372000",7,12,524.598433921844
"389","DALLAS CO HIGH SCH","010111000397","47","01","-86.929600","32.661800",9,12,609
"390","DALRAIDA ELEM SCH","010243001006","101","01","-86.244800","32.390400",0,5,754
"391","DANIEL HOUSE","010003302125","73","01","-86.659600","33.483800",-2,-2,524.598433921844
"392","DANIEL PAYNE MIDDLE SCH","010039001645","73","01","-86.872400","33.554000",6,8,524.598433921844
"393","DANIEL PRATT ELEM SCH","010024000546","1","01","-86.422200","32.452200",1,6,1144
"394","DANNELLY ELEM SCH","010243001007","101","01","-86.259400","32.343300",0,5,611
"395","DANVILLE HIGH SCH","010248001042","103","01","-87.093500","34.416800",9,12,424
"396","DANVILLE MIDDLE SCH","010248000574","103","01","-87.093700","34.415700",5,8,443
"397","DANVILLE-NEEL ELEM SCH","010248000202","103","01","-87.089900","34.432000",-1,4,500
"398","DAPHNE EAST ELEM SCH","010027002072","3","01","-87.869900","30.614100",0,6,971
"399","DAPHNE ELEM SCH","010027001709","3","01","-87.904700","30.612400",0,3,679
"400","DAPHNE HIGH SCH","010027001759","3","01","-87.863800","30.638500",9,12,1219
"401","DAPHNE MIDDLE SCH","010027000013","3","01","-87.870100","30.617300",7,8,587
"402","DAUPHIN ISLAND ELEM SCH","010237000911","97","01","-88.126000","30.249800",0,5,87
"403","DAUPHIN JR HIGH SCH","010132000475","31","01","-85.853300","31.337300",8,9,654
"404","DAVIS ELEM SCH","010243001008","101","01","-86.315700","32.340500",-1,5,541
"405","DAVIS HILLS MIDDLE SCH","010180001528","89","01","-86.609700","34.769900",6,8,355
"406","DAVIS LEARNING CENTER-BEEP","010243001692","101","01","-86.282200","32.385000",0,12,524.598433921844
"407","DAVIS-EMERSON MIDDLE SCH","010339002088","125","01","-87.454800","33.195300",6,8,363
"408","DAWES INTERMEDIATE SCH","010237002168","97","01","-88.288700","30.618000",3,5,503
"409","DC WOLFE SCH","010219000829","87","01","-85.906200","32.402900",0,6,145
"410","DE ARMANVILLE ELEM SCH","010263501865","15","01","-85.747000","33.628100",0,4,492
"411","DEAN ROAD ELEM SCH","010021000040","81","01","-85.464100","32.600500",0,2,453
"412","DECATUR HIGH DEV","010117002175","103","01","-86.976000","34.596300",9,12,46
"413","DECATUR HIGH SCH","010117000429","103","01","-86.974000","34.594800",9,12,956
"414","DEER VALLEY ELEM SCH","010000701483","73","01","-86.867400","33.363900",0,4,838
"415","DEKALB ANNEX SCH","010114000830","49","01","-85.840600","34.491700",0,12,524.598433921844
"416","DEKALB VOC SCH","010114000832","49","01","-85.840600","34.491100",10,12,524.598433921844
"417","DELTA ELEM SCH","010027001783","3","01","-87.849100","30.790100",-1,6,229
"418","DEMOPOLIS HIGH SCH","010120000148","91","01","-87.844700","32.497500",9,12,668
"419","DEMOPOLIS MIDDLE SCH","010120000439","91","01","-87.833700","32.509700",6,8,574
"420","DESHLER ALT SCH","010342001656","33","01","-87.701500","34.739000",4,12,524.598433921844
"421","DESHLER CAREER TECHNICAL CENTER","010342001400","33","01","-87.701500","34.739000",9,12,524.598433921844
"422","DESHLER HIGH SCH","010342001297","33","01","-87.701500","34.739000",9,12,462
"423","DESHLER MIDDLE SCH","010342001298","33","01","-87.696900","34.738800",6,8,368
"424","DET CTR","010000201670","25","01","-87.750500","31.938400",7,12,524.598433921844
"425","DEVELOPING ALABAMA YOUTH PROG","010004101852","117","01","-86.824200","33.232100",7,11,524.598433921844
"426","DISCOVERY MIDDLE SCH","010000800495","89","01","-86.742700","34.740800",7,8,779
"427","DIXIE ELEM SCH","010288001132","113","01","-85.255100","32.446100",0,6,193
"428","DIXON ELEM SCH","010237000914","97","01","-88.245400","30.444600",-1,5,488
"429","DONALD ELEM SCH","010144000515","73","01","-86.905800","33.490500",0,6,342
"430","DONEHOO ELEM SCH","010162000551","55","01","-85.983200","33.998600",-1,5,273
"431","DORA HIGH SCH","010345001311","127","01","-87.062000","33.749700",9,12,511
"432","DOTHAN HIGH SCH","010123000445","69","01","-85.394500","31.209000",9,12,1221
"433","DOTHAN TECH CTR","010123001349","69","01","-85.381100","31.266500",9,12,524.598433921844
"434","DOUBLE SPRINGS ELEM SCH","010358001358","133","01","-87.406900","34.150600",-1,4,368
"435","DOUBLE SPRINGS MIDDLE SCH","010358001464","133","01","-87.400500","34.165800",5,8,329
"436","DOUGLAS ELEM SCH","010000600877","95","01","-86.321300","34.176200",3,5,476
"437","DOUGLAS HIGH SCH","010000600878","95","01","-86.319900","34.178200",9,12,548
"438","DOUGLAS MIDDLE SCH","010000601812","95","01","-86.319900","34.178200",6,8,454
"439","DOZIER ELEM SCH","010243001009","101","01","-86.211500","32.377200",-1,5,452
"440","DR. ROBERT W. GILLIARD ELEM","010237001595","97","01","-88.071700","30.613900",-1,5,724
"441","DRAKE MIDDLE SCH","010021000041","81","01","-85.494400","32.618100",6,7,1213
"442","DRAPER CORRECTIONAL FACILITY","010017602109","1","01","-86.472100","32.439400",-2,-2,524.598433921844
"443","DROP BACK IN ACAD","010237002161","97","01","-88.142000","30.672400",9,12,524.598433921844
"444","DUCK SPRINGS ELEM SCH","010138000494","55","01","-85.999600","34.143700",0,6,232
"445","DUNBAR CREATIVE PERFORMING ARTS","010237000916","97","01","-88.050000","30.693200",6,8,575
"446","DUNBAR-RAMER SCH","010243001010","101","01","-86.223700","32.046600",-1,8,151
"447","DUNCANVILLE MIDDLE SCHOOL","010339001882","125","01","-87.481000","33.093000",6,8,488
"448","DURAN JR HIGH SCH","010265001570","115","01","-86.295500","33.582800",8,8,301
"449","DURAN SOUTH","010265001541","115","01","-86.285800","33.577500",7,7,331
"450","DUTTON ELEM SCH","010183000657","71","01","-85.917200","34.608400",0,8,230
"451","E D NIXON ELEM SCH","010243001439","101","01","-86.313400","32.362800",-1,5,491
"452","E H GENTRY TECHNICAL FACILITY","010000901406","121","01","-86.118400","33.422500",7,12,524.598433921844
"453","EARLY CHILDHOOD DIRECTIONS","010237001598","97","01","-88.123300","30.709700",-2,-2,524.598433921844
"454","EAST ELEM SCH","010099000371","43","01","-86.835900","34.173600",2,6,594
"455","EAST FRANKLIN JR HIGH SCH","010159000542","59","01","-87.599000","34.384200",-1,9,222
"456","EAST LAWRENCE ELEM SCH","010204001410","79","01","-87.172700","34.569800",0,3,467
"457","EAST LAWRENCE HIGH SCH","010204001546","79","01","-87.173600","34.566700",9,12,404
"458","EAST LAWRENCE MIDDLE SCH","010204000778","79","01","-87.173100","34.567500",4,8,489
"459","EAST LIMESTONE HIGH SCH","010210000800","83","01","-86.833400","34.783000",6,12,1248
"460","EASTWOOD ELEM SCH","010117000430","103","01","-86.944800","34.578300",-1,5,235
"461","EASTWOOD MIDDLE SCH","010336001255","125","01","-87.453800","33.160200",6,8,562
"462","ECHOLS MIDDLE SCH","010339001462","125","01","-87.581700","33.232100",6,8,675
"463","ECLECTIC ELEM SCH","010129001768","51","01","-86.029100","32.628600",-1,4,642
"464","ECLECTIC MIDDLE SCH","010129001432","51","01","-86.025400","32.634300",5,8,497
"465","EDEN AREA TECH CTR","010306201180","115","01","-86.113900","33.879600",9,12,524.598433921844
"466","EDEN ELEM SCH","010265001469","115","01","-86.311100","33.594400",-1,4,370
"467","EDGEWOOD ELEM SCH","010176000606","73","01","-86.809600","33.471200",0,5,787
"468","EDGEWOOD ELEM SCH","010297001154","47","01","-87.029200","32.431700",-1,5,379
"469","EDWARD BELL HIGH SCH","010321001231","123","01","-85.644300","32.804600",0,12,524.598433921844
"470","EDWARD WHITE MIDDLE SCH","010180000627","89","01","-86.636400","34.759900",6,8,432
"471","EICHOLD-MERTZ ELEM SCH","010237000937","97","01","-88.108000","30.660200",-1,5,510
"472","ELBA AREA VOC SCH","010126001354","31","01","-86.103300","31.427400",7,12,524.598433921844
"473","ELBA ELEM SCH","010126000460","31","01","-86.102700","31.424400",0,6,378
"474","ELBA HIGH SCH","010126000461","31","01","-86.103300","31.427400",7,12,342
"475","ELBERTA ELEM SCH","010027000625","3","01","-87.583800","30.412300",0,3,475
"476","ELBERTA MIDDLE SCH","010027000057","3","01","-87.599800","30.419800",4,8,541
"477","ELIZABETH FONDE ELEM SCH","010237000920","97","01","-88.141300","30.653600",-1,5,737
"478","ELIZABETH S CHASTANG MIDDLE SCH","010237000963","97","01","-88.114900","30.732100",6,8,404
"479","ELKMONT HIGH SCH","010210001549","83","01","-86.969200","34.931200",0,12,1098
"480","ELMORE CO HIGH SCH","010129000463","51","01","-86.029600","32.633800",9,12,474
"481","ELMORE CO TECH CTR","010129000834","51","01","-86.215600","32.550400",10,12,524.598433921844
"482","ELSANOR SCH","010027000058","3","01","-87.624800","30.566800",-1,6,308
"483","ELSIE COLLIER ELEM SCH","010237001436","97","01","-88.277400","30.702100",-1,5,740
"484","ELVIN HILL ELEM SCH","010303001588","117","01","-86.598100","33.175700",0,5,508
"485","ENDEAVOR ELEM SCH","010222001433","89","01","-86.783700","34.789600",-1,5,716
"486","ENGLE DAY TREATMENT","010039000079","73","01","-86.809100","33.520000",1,8,1
"487","ENGLEWOOD ELEM SCH","010339001278","125","01","-87.560700","33.112900",3,5,538
"488","ENSLEY HIGH ALT CTR","010039001746","73","01","-86.891000","33.519600",9,12,524.598433921844
"489","ENSLEY MIDDLE ALT CTR","010039001420","73","01","-86.891000","33.519600",6,8,524.598433921844
"490","ENTERPRISE EARLY ED CTR","010132001867","31","01","-85.853100","31.323000",-1,0,501
"491","ENTERPRISE HIGH SCH","010132000476","31","01","-85.874600","31.329200",10,12,1579
"492","ENTERPRISE JR HIGH SCH","010132000477","31","01","-85.858000","31.311300",8,9,486
"493","ENVIRONMENTAL STUDIES CTR","010237001596","97","01","-88.177500","30.612900",9,12,524.598433921844
"494","EPIC SCH","010039000119","73","01","-86.813200","33.494700",-1,5,465
"495","EPRUETT CTR OF TECH","010183000908","71","01","-85.958400","34.721100",10,12,524.598433921844
"496","ER DICKSON ELEM SCH","010237000913","97","01","-88.168000","30.682000",0,5,891
"497","ERWIN CRAIGHEAD ELEM SCH","010237001775","97","01","-88.068700","30.667900",-1,5,495
"498","ERWIN ELEM SCH","010192000701","73","01","-86.697400","33.645800",3,5,578
"499","ERWIN HIGH SCH","010192000702","73","01","-86.702900","33.658600",9,12,844
"500","ERWIN MIDDLE SCH","010192002182","73","01","-86.698900","33.644500",6,8,664
"501","ESCAMBIA CO ALT SCH","010135000840","53","01","-87.268200","31.006700",5,12,524.598433921844
"502","ESCAMBIA CO HIGH SCH","010135000484","53","01","-87.486600","31.006500",9,12,523
"503","ESCAMBIA CO MIDDLE SCH","010135000485","53","01","-87.494700","31.045900",5,8,542
"504","ESCAMBIA-BREWTON AREA VOC SCH","010135000841","53","01","-87.095700","31.113900",9,12,524.598433921844
"505","ET BELSAW - MT VERNON SCH","010237001687","97","01","-87.999800","31.089900",-1,8,194
"506","ETOWAH ACADEMY","010017402124","55","01","-85.971100","34.000600",-2,-2,524.598433921844
"507","ETOWAH CO ALT HIGH SCH","010138002076","55","01","-85.995700","34.025000",9,12,173
"508","ETOWAH CO ALT SCH","010138000849","55","01","-86.104900","33.996300",4,12,524.598433921844
"509","ETOWAH CO SPEC ED LEARNING CTR","010138000845","55","01","-86.043300","33.958400",-1,12,524.598433921844
"510","ETOWAH HIGH SCH","010018000033","55","01","-86.113200","33.995400",9,12,768
"511","ETOWAH MIDDLE SCH","010018000034","55","01","-86.098300","34.017500",6,8,443
"512","EUFAULA HIGH SCH","010141000511","5","01","-85.139100","31.919300",9,12,756
"513","EUFAULA SCH - EUFAULA CAMPUS","010000201402","5","01","-85.252800","31.881600",3,12,524.598433921844
"514","EURA BROWN ELEM SCH","010162000555","55","01","-86.024600","33.974100",0,5,397
"515","EUTAW PRIMARY SCH","010168001452","63","01","-87.893100","32.838000",0,3,269
"516","EVA SCH","010248001043","103","01","-86.764000","34.333900",0,8,375
"517","EVANS ELEM SCH","010000500879","95","01","-86.220100","34.273200",5,6,679
"518","EVELYN D HOUSTON ELEM SCH","010315001724","121","01","-86.077500","33.427800",0,6,436
"519","EVENING EDUCATIONAL OPTIONS","010237002177","97","01","-88.086300","30.629000",10,12,100
"520","EVERGREEN ELEM SCH","010087000345","35","01","-86.972700","31.426800",-1,5,457
"521","EXCEL HIGH SCH","010240000975","99","01","-87.340600","31.431700",-1,12,1109
"522","EXCEL INSTITUTE","010018402115","55","01","-86.020900","34.011800",-2,-2,524.598433921844
"523","F S ERVIN ELEM SCH","010351000325","131","01","-87.593400","31.971300",-1,6,294
"524","FAIRFAX ELEM SCH","010060000257","17","01","-85.187200","32.791200",-1,5,505
"525","FAIRFIELD ALT SCH","010144001361","73","01","-86.912200","33.473900",0,12,524.598433921844
"526","FAIRFIELD AREA VOC SCH","010144001363","73","01","-86.908300","33.491200",10,12,524.598433921844
"527","FAIRFIELD HIGH PREPARATORY SCH","010144000516","73","01","-86.908300","33.491200",9,12,576
"528","FAIRHOPE HIGH SCH","010027000100","3","01","-87.886100","30.498800",9,12,1471
"529","FAIRHOPE INTERMEDIATE SCH","010027001710","3","01","-87.870500","30.450500",4,6,765
"530","FAIRHOPE K-1 CTR","010027000166","3","01","-87.904400","30.520500",-1,0,524.598433921844
"531","FAIRHOPE MIDDLE SCH","010027000059","3","01","-87.881800","30.495400",7,8,762
"532","FAIRHOPE PRIMARY SCH","010027001711","3","01","-87.901700","30.532800",-1,3,1024
"533","FAIRVIEW ELEM SCH","010102000396","43","01","-86.689200","34.253800",0,5,614
"534","FAIRVIEW HIGH SCH","010102000377","43","01","-86.687900","34.256000",9,12,531
"535","FAIRVIEW MIDDLE SCH","010102000400","43","01","-86.687900","34.256000",6,8,320
"536","FALKVILLE ELEM SCH","010248000204","103","01","-86.914600","34.365800",0,5,366
"537","FALKVILLE HIGH SCH","010248001044","103","01","-86.912300","34.366300",6,12,404
"538","FAMILY COURT ELEM SCH","010039000530","73","01","-86.832600","33.503800",0,8,524.598433921844
"539","FAMILY COURT HIGH SCH","010039001761","73","01","-86.832600","33.503800",9,12,20
"540","FARLEY ELEM SCH","010180000628","89","01","-86.563000","34.597200",-1,5,338
"541","FARMSTEAD JR HIGH SCH","010345001315","127","01","-87.282300","33.886800",0,8,524.598433921844
"542","FAUCETT-VESTAVIA ELEM SCH","010339001293","125","01","-87.569400","33.245800",0,5,430
"543","FAYETTE CO HIGH SCH","010147001787","57","01","-87.821800","33.703100",9,12,453
"544","FAYETTE ELEM SCH","010147001514","57","01","-87.825300","33.686600",0,4,565
"545","FAYETTE MIDDLE SCH","010147000523","57","01","-87.826400","33.689000",5,8,458
"546","FAYETTEVILLE HIGH SCH","010318001216","121","01","-86.409500","33.146200",0,12,685
"547","FE BURLESON ELEM SCH","010173000597","103","01","-86.922400","34.457900",0,4,383
"548","FEWS SECONDARY ALT","010243001011","101","01","-86.314100","32.358800",7,9,78
"549","FITZPATRICK ELEM SCH","010243001777","101","01","-86.237400","32.302900",0,5,605
"550","FIVE POINTS ELEM SCH","010111000398","47","01","-87.229300","32.242900",3,6,524.598433921844
"551","FIVE POINTS ELEM SCH","010060000259","17","01","-85.347400","33.017900",0,8,135
"552","FLAT ROCK SCH","010183000658","71","01","-85.694400","34.769300",0,8,160
"553","FLATWOODS ELEM SCH","010339001279","125","01","-87.621700","33.243600",-1,5,369
"554","FLEETA SCH","010093000359","39","01","-86.245000","31.329700",0,8,165
"555","FLOMATON ELEM SCH","010135001504","53","01","-87.268700","31.004300",0,6,408
"556","FLOMATON HIGH SCH","010135000487","53","01","-87.269900","31.006000",7,12,440
"557","FLORALA HIGH SCH","010093000360","39","01","-86.336800","31.002800",7,12,219
"558","FLORENCE FRESHMAN CTR","010153000531","77","01","-87.673400","34.809500",9,9,365
"559","FLORENCE HIGH SCH","010153000528","77","01","-87.663300","34.834500",10,12,948
"560","FLORENCE HOWARD ELEM SCH","010237001030","97","01","-88.058400","30.696900",-1,5,470
"561","FLORENCE LEARNING CTR","010153001644","77","01","-87.683700","34.796700",6,12,524.598433921844
"562","FLORENCE MIDDLE SCH","010153000536","77","01","-87.672200","34.810500",7,8,703
"563","FLOWERS ELEM SCH","010243001012","101","01","-86.252100","32.366700",0,5,370
"564","FLOYD ELEM SCH","010162001517","55","01","-86.033900","34.027000",-1,5,354
"565","FLOYD ELEM SCH","010243000512","101","01","-86.297400","32.341000",0,5,371
"566","FLOYD MIDDLE SCH","010243001013","101","01","-86.296000","32.341200",6,8,508
"567","FOLEY ELEM SCH","010027001712","3","01","-87.691600","30.409800",0,4,1355
"568","FOLEY HIGH SCH","010027001784","3","01","-87.689300","30.381700",9,12,1749
"569","FOLEY INTERMEDIATE SCH","010027001713","3","01","-87.692100","30.385500",5,6,438
"570","FOLEY MIDDLE SCH","010027000060","3","01","-87.689400","30.407600",7,8,694
"571","FOREST AVENUE ELEM SCH","010243001014","101","01","-86.285900","32.360900",0,5,749
"572","FOREST HILL ELEM SCH","010237000922","97","01","-88.146000","30.718400",0,5,534
"573","FOREST HILLS MIDDLE SCH","010144000517","73","01","-86.919400","33.468100",6,8,194
"574","FOREST HILLS SCH","010153000532","77","01","-87.675900","34.850400",0,4,796
"575","FORT DEPOSIT ELEM SCH","010216001635","85","01","-86.582300","31.990800",0,5,276
"576","FORT PAYNE HIGH SCH","010156000538","49","01","-85.673600","34.487200",9,12,801
"577","FORT PAYNE MIDDLE SCH","010156001750","49","01","-85.668500","34.491300",5,8,922
"578","FRANCES NUNGESTER ELEM SCH","010117001615","103","01","-86.996900","34.547600",-1,5,364
"579","FRANKLIN CO CAREER TECH CTR","010159000860","59","01","-87.865200","34.474400",9,12,524.598433921844
"580","FRUITDALE HIGH SCH","010348001336","129","01","-88.407900","31.343100",0,12,408
"581","FRUITHURST ELEM SCH","010078000319","29","01","-85.436400","33.732200",-1,6,274
"582","FULTONDALE ELEM SCH","010192000703","73","01","-86.805800","33.607300",-1,5,815
"583","FULTONDALE HIGH SCH","010192000704","73","01","-86.776300","33.632300",6,12,637
"584","FYFFE HIGH SCH","010114000415","49","01","-85.975200","34.391400",0,12,1012
"585","G W TRENHOLM PRIMARY SCH","010342001300","33","01","-87.695300","34.723100",0,2,348
"586","GADSDEN CITY ALT SCH","010162001646","55","01","-86.021000","34.014000",6,12,524.598433921844
"587","GADSDEN CITY HIGH SCH","010162001824","55","01","-86.035700","33.995000",9,12,1559
"588","GADSDEN MIDDLE SCH","010162000553","55","01","-86.011200","34.006200",6,8,509
"589","GARDEN CITY ELEM SCH","010102000378","43","01","-86.751100","34.012700",-1,5,109
"590","GARDENDALE ELEM SCH","010192000705","73","01","-86.818300","33.647600",0,5,859
"591","GARDENDALE HIGH SCH","010192000706","73","01","-86.812600","33.645400",9,12,1095
"592","GASTON HIGH SCH","010138000496","55","01","-85.926800","34.068300",0,12,566
"593","GASTON KINDERG-EIGHTH SCH","010039001745","73","01","-86.921400","33.444400",0,8,524.598433921844
"594","GATE CITY ELEM SCH","010039000127","73","01","-86.731100","33.537300",0,5,468
"595","GATEWAY SCH","010039001629","73","01","-86.758100","33.545900",9,12,524.598433921844
"596","GAYLESVILLE HIGH SCH","010063000279","19","01","-85.560000","34.271100",-1,12,398
"597","GENEVA CO ELEM SCH","010166001791","61","01","-85.699600","31.098600",0,5,396
"598","GENEVA CO HIGH SCH","010166000570","61","01","-85.700200","31.095800",9,12,217
"599","GENEVA CO MIDDLE SCH","010166001792","61","01","-85.700200","31.095800",6,8,190
"600","GENEVA HIGH SCH","010164000567","61","01","-85.879800","31.042600",9,12,335
"601","GENEVA MIDDLE SCH","010164001788","61","01","-85.881200","31.043600",6,8,270
"602","GEORGE H BRYANT VOCATIONAL-AGRICULTURAL","010237001086","97","01","-88.209000","30.504700",9,12,524.598433921844
